id,fieldsec_secid,fieldsec_fieldid,fieldsecsort
145094,110623,175666,16
145095,110623,175667,17
145096,110623,175668,18
145097,110623,175669,19
145098,110623,175670,20
145099,110624,175671,1
145103,110624,175675,3
145104,110624,175676,4
145105,110624,175677,5
145106,110624,175678,6
145107,110624,175679,7
145108,110625,175680,1
145109,110625,175681,2
145110,110625,175682,3
145111,110625,175683,4
145112,110625,175684,5
145113,110625,175685,6
145114,110625,175686,7
145115,110625,175687,8
145116,110625,175688,9
145117,110625,175689,10
145118,110625,175690,11
145119,110625,175691,12
145120,110625,175692,13
145121,110625,175693,14
145122,110625,175694,15
145123,110625,175695,16
145124,110625,175696,17
145125,110625,175697,18
145126,110625,175698,19
145127,110626,175699,1
145128,110626,175700,2
145129,110627,175701,1
145130,110627,175702,2
145131,110627,175703,3
145132,110627,175704,4
145133,110627,175705,5
145134,110627,175706,6
145135,110627,175707,7
145136,110627,175708,8
145137,110627,175709,9
145138,110627,175710,10
145139,110627,175711,11
145140,110627,175712,12
145141,110627,175713,13
145142,110627,175714,14
145143,110627,175715,15
145144,110627,175716,16
145145,110627,175717,17
145146,110627,175718,18
145147,110627,175719,19
145148,110627,175720,20
145149,110627,175721,21
145150,110627,175722,22
145151,110627,175723,23
145152,110627,175724,24
145153,110627,175725,25
145154,110627,175726,26
145155,110627,175727,27
145156,110627,175728,28
145158,110627,175730,30
145159,110627,175731,31
145160,110627,175732,32
145161,110627,175733,33
145162,110627,175734,34
145163,110627,175735,35
145164,110627,175736,36
145165,110627,175737,37
145167,110627,175739,39
145168,110627,175740,40
145169,110627,175741,41
145170,110627,175742,42
145171,110627,175743,43
145172,110627,175744,44
145173,110627,175745,45
145174,110627,175746,46
145175,110627,175747,47
145176,110627,175748,48
145177,110627,175749,49
145178,110627,175750,50
145179,110627,175751,51
145180,110627,175752,52
145181,110627,175753,53
145182,110627,175754,54
145184,110627,175756,56
145185,110628,175757,1
145186,110628,175758,2
145187,110628,175759,3
145188,110628,175760,4
145189,110600,175761,1
145190,110629,175763,1
145191,110629,175764,2
145192,110629,175765,3
145193,110629,175766,4
145194,110629,175767,5
145195,110629,175768,6
145196,110629,175769,7
145197,110629,175770,8
145198,110630,175763,1
145199,110630,175764,2
145200,110630,175765,3
145201,110630,175766,4
145202,110630,175767,5
145203,110630,175768,6
145204,110630,175769,7
145205,110630,175770,8
145206,110631,175763,1
145207,110631,175764,2
145208,110631,175765,3
145209,110631,175766,4
145210,110631,175767,5
145211,110631,175768,6
145212,110631,175769,7
145213,110631,175770,8
145214,110632,175763,1
145215,110632,175764,2
145216,110632,175765,3
145217,110632,175766,4
145218,110632,175767,5
145219,110632,175768,6
145220,110632,175769,7
145221,110632,175770,8
145222,110627,175755,55
