id,fieldata_fieldid,fieldata_optionvalues,fielddata_codes,actiontaken,isActive
188194,175613,Software Professional,29,0,
188195,175613,Steel Fixer,30,0,
188196,175613,Student,31,0,
188197,175613,Supervisor,32,0,
188198,175613,Business Man Medium Scale,33,0,
188199,175613,BUSINESS,34,0,
188200,175613,Agriculturist,35,0,
188201,175613,Business Owner,36,0,
188202,175613,Doctor,37,0,
188203,175613,Lawyer,38,0,
188204,175613,Professional,39,0,
188205,175613,Retired/Pensioner,40,0,
188206,175613,Salaried,41,0,
188207,175613,Self Employed,42,0,
188208,175495,Single Room,1,0,
188209,175495,Shared,2,0,
188210,175495,Deluxe,3,0,
188211,175495,1st Floor,4,0,
188212,175495,2nd Floor,5,0,
188213,175769,Fraud ,1,0,
188214,175769,Genuine,2,0,
188215,175769,Abuse,3,0,
